"","site_id","egforest","decforest","mixforest","woodland","lowshrub","tallshrub","openshrub","tundra","tussock","sparseveg","fen","bog","littoral","barren","water","site_id","raw_elev"
"1","KOUG_4_19_16",0.0138775510204082,0,0.00408163265306122,0.00489795918367347,0.04,0.591020408163265,0,0.250612244897959,0,0.00163265306122449,0.0538775510204082,0,0.0171428571428571,0.0155102040816327,0.0073469387755102,"KOUG_4_19_16",38.9756050109863
"2","KOUG_4_19_19",0,0,0,0.00163265306122449,0.0783673469387755,0.554285714285714,0,0.35265306122449,0,0,0.00816326530612245,0,0.00489795918367347,0,0,"KOUG_4_19_19",42.4364471435547
"3","KOUG_4_19_21",0,0,0,0,0.0114285714285714,0.363265306122449,0,0.62530612244898,0,0,0,0,0,0,0,"KOUG_4_19_21",173.941940307617
"4","KOUG_4_19_1",0.00244897959183673,0,0,0,0.0391836734693878,0.800816326530612,0,0.100408163265306,0.00571428571428571,0.0073469387755102,0.0359183673469388,0,0,0.00653061224489796,0.00163265306122449,"KOUG_4_19_1",54.1389770507812
"5","KOUG_4_19_6",0,0,0.000816326530612245,0.000816326530612245,0.043265306122449,0.766530612244898,0.00163265306122449,0.161632653061224,0.0163265306122449,0,0.00897959183673469,0,0,0,0,"KOUG_4_19_6",70.7608947753906
"6","KOUG_4_19_12",0.0138775510204082,0,0.00408163265306122,0.00489795918367347,0.04,0.591020408163265,0,0.250612244897959,0,0.00163265306122449,0.0538775510204082,0,0.0171428571428571,0.0155102040816327,0.0073469387755102,"KOUG_4_19_12",38.9756050109863
"7","KOUG_4_19_8",0.00326530612244898,0,0.00571428571428571,0.00653061224489796,0.0710204081632653,0.52734693877551,0.00489795918367347,0.29469387755102,0.0277551020408163,0.0212244897959184,0.0228571428571429,0,0.00326530612244898,0.00489795918367347,0.00653061224489796,"KOUG_4_19_8",37.1581649780273
"8","KOUG_4_19_11",0.0236734693877551,0,0.0302040816326531,0.0138775510204082,0.0146938775510204,0.641632653061225,0.00163265306122449,0.0171428571428571,0.00326530612244898,0.00979591836734694,0.131428571428571,0,0.043265306122449,0.0424489795918367,0.0269387755102041,"KOUG_4_19_11",39.6217956542969
"9","KOUG_4_19_7",0.0236734693877551,0,0.0302040816326531,0.0138775510204082,0.0146938775510204,0.641632653061225,0.00163265306122449,0.0171428571428571,0.00326530612244898,0.00979591836734694,0.131428571428571,0,0.043265306122449,0.0424489795918367,0.0269387755102041,"KOUG_4_19_7",39.6217956542969
"10","KOUG_4_19_10",0,0.00163265306122449,0,0,0.00489795918367347,0.64734693877551,0,0.339591836734694,0.00653061224489796,0,0,0,0,0,0,"KOUG_4_19_10",152.160659790039
"11","KOUG_4_19_15",0,0,0,0,0.0073469387755102,0.542857142857143,0,0.449795918367347,0,0,0,0,0,0,0,"KOUG_4_19_15",160.104797363281
"12","TELL_5_16_24",0,0,0,0,0.0644897959183673,0.363265306122449,0.00571428571428571,0.441632653061225,0.124897959183673,0,0,0,0,0,0,"TELL_5_16_24",143.666137695312
"13","TELL_5_16_26",0,0,0,0,0.0448979591836735,0.0187755102040816,0,0.866122448979592,0.00163265306122449,0.0685714285714286,0,0,0,0,0,"TELL_5_16_26",134.370941162109
"14","TELL_5_16_25",0,0,0,0.00163265306122449,0.00816326530612245,0.0506122448979592,0,0.855510204081633,0.0522448979591837,0.0310204081632653,0,0,0,0.000816326530612245,0,"TELL_5_16_25",170.698669433594
"15","TELL_5_16_23",0.0563265306122449,0,0.00163265306122449,0.00326530612244898,0.0612244897959184,0.504489795918367,0.0995918367346939,0.133877551020408,0.0122448979591837,0.0228571428571429,0.0873469387755102,0,0,0.0171428571428571,0,"TELL_5_16_23",104.477996826172
"16","TELL_5_16_20",0.0563265306122449,0,0.00163265306122449,0.00326530612244898,0.0612244897959184,0.504489795918367,0.0995918367346939,0.133877551020408,0.0122448979591837,0.0228571428571429,0.0873469387755102,0,0,0.0171428571428571,0,"TELL_5_16_20",104.477996826172
"17","TELL_5_16_22",0,0.0073469387755102,0.00163265306122449,0.00326530612244898,0.0293877551020408,0.63265306122449,0.00326530612244898,0.159183673469388,0.0146938775510204,0.0424489795918367,0.00816326530612245,0,0,0.0979591836734694,0,"TELL_5_16_22",71.3712997436523
"18","KOUG_4_6_13",0.00653061224489796,0,0.00408163265306122,0.00816326530612245,0.0277551020408163,0.508571428571429,0,0.343673469387755,0.000816326530612245,0.0587755102040816,0.0122448979591837,0,0,0.0293877551020408,0,"KOUG_4_6_13",179.320587158203
"19","KOUG_4_6_18",0.00979591836734694,0,0.00408163265306122,0.00571428571428571,0.0383673469387755,0.395918367346939,0,0.448979591836735,0.0424489795918367,0.0122448979591837,0.0326530612244898,0,0,0.00979591836734694,0,"KOUG_4_6_18",156.791091918945
"20","KOUG_4_6_29",0,0,0,0,0.0808163265306122,0.269387755102041,0.00816326530612245,0.45469387755102,0.137959183673469,0.0269387755102041,0.00571428571428571,0,0,0.0163265306122449,0,"KOUG_4_6_29",175.305160522461
"21","KOUG_4_6_24",0,0,0,0,0.0808163265306122,0.269387755102041,0.00816326530612245,0.45469387755102,0.137959183673469,0.0269387755102041,0.00571428571428571,0,0,0.0163265306122449,0,"KOUG_4_6_24",175.305160522461
"22","KOUG_4_6_32",0,0,0,0,0.0073469387755102,0.666938775510204,0,0.292244897959184,0.033469387755102,0,0,0,0,0,0,"KOUG_4_6_32",225.234893798828
"23","KOUG_4_6_34",0,0,0.0122448979591837,0.000816326530612245,0.000816326530612245,0.519183673469388,0.0073469387755102,0.445714285714286,0,0.00816326530612245,0,0,0,0.00571428571428571,0,"KOUG_4_6_34",341.463623046875
